Name,Story,Genres,Certificate
Better with You,Two sisters are at different stages in their respective relationships.,Comedy,
Human Giant,A half-hour show of edgy short films.,Comedy,TV-14
Cold Case Files,Tense new series exploring cold cases from victims death to criminal conviction. Expertly narrated by a foreboding Danny Glover.,"Documentary ,Crime",
Celebrity Ghost Stories,Celebrities talk about paranormal experiences that they've had.,Documentary,
Special Agent Oso,A kids' show centered around a special agent-in-training needs the help of viewers at home in order to complete his missions.,"Animation ,Action ,Adventure ,Family ,Mystery",
The Beautiful Life: TBL,Show revolves around a group of models living together in a co-ed residence in New York.,Drama,TV-14
Jack of All Trades,"American spy/adventurer Jack Stiles is sent by Thomas Jefferson to the tiny South Pacific island of Polau Polau to work with British spy Emilia Rothschild to stop the advances of the French Emperor, Napoleon Bonaparte in his bid for world conquest.","Adventure ,Action ,Comedy ,Fantasy",
Love & Hip Hop: Atlanta,"Follows the lives of some elite women and men in Atlanta involved in the entertainment industry. It covers the drama that goes on with their friends, children, families and coworkers.",Reality-TV,TV-14
Fact or Faked: Paranormal Files,Videos gathered from around the globe. Six experts searching for the truth. What will they witness in their search for evidence. This is Fact or Faked: Paranormal Files.,"Documentary ,Sci-Fi",
Bunnicula,A vampire rabbit likes to drink carrot juice instead of blood to strengthen up his super abilities in new paranormal adventures.,"Animation ,Short ,Adventure ,Comedy ,Family ,Fantasy ,Horror",TV-YT
Nikki,"Nikki and Dwight follow their dreams, while Dwight's mother disapproves of Nikki and their lifestyle.",Comedy,
Cult,Tracks the investigation of a string of mysterious deaths and disappearances surrounding the show-within-a-show.,"Drama ,Horror ,Mystery ,Sci-Fi ,Thriller",
T.U.F.F. Puppy,A secret agent labradoodle is recruited into a task force called T.U.F.F and fights injustice throughout the city in which he lives.,"Animation ,Short ,Action ,Adventure ,Comedy ,Crime ,Family",TV-Y7
Miss Match,"The series centered on a Los Angeles matrimonial attorney who doubled as a high-end matchmaker, even though her own love life is less than perfect.","Comedy ,Drama ,Romance",
All Night,"After their graduation, the class of 2018 gathers to celebrate their last night together at their local rec center for ""Grad Night,"" an all-night party with dancing, karaoke, games and a rule that no one can come in or out for twelve full hours.",Comedy,
The Legend of Tarzan,"Picking up where Disney's animated film Tarzan (1999) left off, Tarzan is reunited with his animal family while assuming greater responsibilities as the successor to Kerchak. Tarzan, now king of the beasts, must protect the wildlife and the jungle itself. Tarzan also continues to learn about humans through the teachings of Jane.","Animation ,Adventure ,Family",TV-YT
The Paynes,"A spinoff of comedy ""House of Payne,"" Curtis and Ella Payne (LaVan Davis and Cassi Davis) are trying to enjoy their retirement in Florida only to get roped into a real estate deal that will tumble their lives.",Comedy,
IMDb Supercuts,"IMDb Supercuts highlights the best moments in movies and television with mashups for actor filmographies, movie anniversaries, holidays, and more.",Documentary,
Tripping the Rift,"Tripping the Rift is a CGI science fiction comedy television series. The universe is modeled largely after the Star Trek universe, with references to ""warp drive"" and ""transporter beam"" technology, occasional time travel, the Federation and the Vulcans. The series also includes elements borrowed from other sources such as Star Wars, 2001: A Space Odyssey and Battlestar Galactica. The general setting is that known space is politically divided between two superpowers: the Confederation (led by Humans, and a parody of the Federation from Star Trek) and the Dark Clown Empire (a parody of the Galactic Empire from Star Wars). The Dark Clown Empire is a totalitarian, tyrannical police state, led by the evil Darph Bobo. In contrast, the Confederation is technically a democratic and free society, but in practice, is dominated by mega-corporations and bloated bureaucracies. Ultimately, both superpowers end up exploiting and restricting their inhabitants, albeit in different ways. For example, ...","Animation ,Comedy ,Fantasy ,Sci-Fi",TV-MA
Freddie,"Freddie Moreno is a young, successful chef who owns his own Italian restaurant in Chicago. He generously shares his luxurious apartment with three female generations of family: his niece, sister-in-law and domineering, still very Puerto Rican grandmother. They all often abuse his good nature, financially and otherwise, without showing him the respect and gratitude he deserves, and so does his practically in-living best friend, Chris, who attracts trouble.",Comedy,
Happy Town,"Haplin, Minnesota ""Happy Town"" is approaching five years of peace after being riddled for years by unsolved kidnappings. But, in the wake of this small town's first crime in five years, some dark truths are being revealed about some familiar faces. They say every town has its secrets... that doesn't even begin to describe Happy Town.","Drama ,Fantasy ,Mystery ,Thriller",
Oswald,"A story of a blue octopus and his dog that looks like a hotdog, named Weenie, and their friends like Daisy the daisy, and Henry the penguin. They go on adventures in their town that usually involves a problem that needs to be solved.",None,TV-Y
BlackedTheAnime,It is a slice of life show about the hardships of having a friend with such a major age difference. Herroshiman (A rich 12 year old middle schooler) befriends a 37 year old man named Greg and together they go on peril journies and discover the truth of what the meaning of friendship really is. Even when they are broken apart their friendship always remains intact as there is no breaking the string that connects the two as one. This epic story is bound to bring tears to your eyes as it is considered one of the most spectacular stories up to date. We hope to share Greg and Herroshiman's expedition with as many people as possible so make sure to gather your family and watch with them as you will all experience what it is like to be in such a conundrum.,Action,TV-Y
Spy Kids: Mission Critical,"The series centers around brother and sister team Juni and Carmen Cortez as they attend Spy Kids Academy, a top secret spy school for kid agents. When a new counter-spy agency threatens the safety of the world, it will be up to junior spies Juni and Carmen to train and lead a team of fellow Spy Kids cadets against the forces of S.W.A.M.P. (Sinister Wrongdoers Against Mankind's Preservation) and their diabolical leader, Golden Brain. The Mission Critical team may not be ready, but they are the only ones to call when grown-up spies can't do the job.","Animation ,Action ,Adventure ,Comedy ,Family ,Sci-Fi",TV-Y7
Mater's Tall Tales,"Rev up your engines for this unforgettable collection of Cars Toons starring Mater, the lovable and hilarious tow truck from the hit movie Cars. From the creative minds of Disney and Pixar, come nine highly entertaining Tall Tales involving bullfights, drag races, rock concerts, monster truck showdowns, and even U.F.O.s. Join Mater, the heart and soul of Radiator Springs, and all of your favorite characters from the world of Cars, as they take you on a fun-filled ride that will have your family roaring with laughter.",None,
Prank Encounters,Gaten Matarazzo stars as himself who is the host of this show. Actors and actresses get to play a huge role in each one of Gatens scary pranks. Each scene of the show gets pretty scary until Gaten walks in to tell everyone that it's only a funny prank.,Comedy,TV-MA
Dimension 20,"Welcome to the land of dragons, wizards - and guidance counselors? Game Master Brennan Lee Mulligan presents CollegeHumor's very first RPG with an '80s twist.",Comedy,
Watch What Happens: Live,Bravo network executive Andy Cohen discusses pop culture topics with celebrities and reality show personalities.,Talk-Show,TV-14
The Greatest Event in Television History,Adam Scott is determined to make the greatest event in television history by remaking the opening sequences of TV shows.,Comedy,TV-14
Conviction,"ADA Alexandra Cabot from ""Law & Order: Special Victims Unit"" returns as the bureau chief for the group of young ADAs. According to Dick Wolf, ""'Conviction' will be a 'charactercedural,' we will be dealing extensively with characters' back stories and personal lives.""","Crime ,Drama ,Mystery",
Flint Town,"Documentary following the police department in Flint, Michigan as they struggle with dwindling resources and crumbling infrastructure in a community crippled by violence and a contaminated water crisis.","Documentary ,Crime",TV-MA
LA Ink,"Kat Von D has come home to Los Angeles to fulfill her dream of opening up her own tattoo shop. The news has spread and celebrities, rising starlets, punk rockers, musicians and tattoo collectors alike are lining up for some of Kat's famous black and grey ink. In a city known for its tattoo culture, LA Ink is sure to stand out - drawing clients from all over the world and from all walks of life. But with popularity comes headaches, drama and a lot of hard work. Playing by her own rules, Kat lives a fast-paced, rebel lifestyle. Hers is a life of freedom: she sets her own schedule, picks her clients, sleeps late,and parties all night. For her shop to be a success, Kat will need to learn how to balance her lifestyle and her business while managing a colorful staff of renowned artists. LA Ink will offer a rare glimpse into an LA that is seldom seen, through the eyes of a true insider.","Documentary ,Reality-TV",TV-PG
Power Rangers Operation Overdrive,"Five teenagers must locate and secure ancient relics with unbelievable power, while at the same time stop a demonic corporation who want the relics for their power.","Action ,Adventure ,Sci-Fi",TV-Y7
The Perfect Murder,"Detectives hit dead end after dead end, and wrong suspects are discarded. But one new clue can lead to another and the cold case suddenly gets hot. Truth is, it is the perfect murder until it's not.",Crime,TV-PG
@midnight,"Hosted by talk show host, Chris Hardwick, this 30 minute segment provides information about the Internet while being scrutinized by amazing comedians. This show consists of clips, gifs, pictures, and etc. that thrive within the dark shadows of what is known as the Internet.","Comedy ,Game-Show",TV-14
The $treet,"Set in the world of corporate stock trading, this show follows the lives of a group of employees working in a small New York City Wall Street trading company, who include expert broker Jack Kenderson, naive intern Tim Sherman, slick trader Mark McConnell, sexist office lout Freddy Sacker, outgoing trader Adam Mitchell, lead executive Tom Divack, receptionist Donna Pasqua, fellow trader Bridget Deshiell, Jack's lawyer fiancée Alexandra Brill, and the tough new brokerage supervisor Catherine Miller, who is always at odds with Sacker and the other male employees.",Drama,
Insomnia,"Insomnia is an illegal game, a costly entertainment, that is held once a year in an exclusive casino where only rich and powerful play. Bets have been placed - the game has begun.","Action ,Drama",
Victor & Valentino,"The series follows two brothers, very opposite from each other who spend a summer with their grandma in Monte Macabre, a small and mysterious town, where the myths and legends of Latin American folklore come to life.","Animation ,Short ,Adventure ,Comedy ,Family ,Fantasy ,Mystery",TV-Y7
Commander in Chief,MacKenzie Allen becomes the first woman American president after she ascends to the job following the death of president Teddy Bridges.,Drama,TV-PG
Vampire: The Masquerade: L.A. By Night,"Led by Storyteller Jason Carl of White Wolf Entertainment, L.A. By Night is a dark tale of personal horror and inhuman conspiracy that sees four vampires doing their best to navigate the macabre affairs and terrifying realities of surviving the L.A. night.",None,
Love Thy Neighbor,"From Tyler Perry's plays, gun-toting Grandma Hattie has been given her own sitcom. Managing the Love Train Diner with her brother-in-law Floyd, she dishes out justice in the best way: with love.","Comedy ,Reality-TV",TV-PG
Zero Hour,Revolves around a bizarre twist of fate that pulls a man who's spent 20 years as the editor of a skeptics magazine into one of the most compelling conspiracies in human history.,"Drama ,Fantasy ,Thriller",TV-14
The Carbonaro Effect,"Michael Carbonaro, an experienced magician, performs illusions and magic tricks on unsuspecting people in everyday situations.",Comedy,TV-14
Keen Eddie,"Wisecracking New York City cop Detective Eddie Arlette (Mark Valley), who has no respect for authority, finds himself a fish out of water when he ends up being assigned to a Police precinct in the U.K.","Comedy ,Crime ,Drama ,Mystery",
The Troop,"Nineth-grader Jake Collins thought he was simply moving to a new town. But soon his whole world is turned upside down as he discovers not only that Big Foots, lake monsters and other supposedly mythical beasts are real, but that he's been recruited to join THE TROOP: the secret organization of kids whose sole mission is to battle those creatures and send them back to ""the other side.""","Action ,Adventure ,Comedy ,Sci-Fi",
Max Steel,"Maxwell ""Max"" McGrath is thrown into a new life after moving with his mother to the small city of Copper Canyon. There he meets new friends, bullies, and super-villains hunting him down for a power inside him called TURBO Energy. Max must now join N-TEK, a secret organization his late father Jim McGrath started, to defeat Trans-Human Industries from taking over the world with their sinister leader Miles Dredd and his evil Elementors. Max's powers are hidden from the public and regulated with the aid of his friend Steel, who is a known as an Ultra-Link (later revealed to be an alien species), to prevent his powers from going critical. During battle, Steel transforms into Max's multiple armors for whatever terrain battle is present. Along the way, with the aid of N-TEK led by Max's uncle Ferrus, both will uncover the mystery behind Steel's past, find out what really happened to Max's father, Jim McGrath and uncover the dark secrets of N-Tek. Until they witnessed the Makino Invasion.","Animation ,Action ,Adventure ,Sci-Fi",TV-Y7
The Titan Games,"Dwayne Johnson presents and stars in ""The Titan Games,"" a groundbreaking new athletic competition based on Dwayne's belief that within each and every one of us is the potential for greatness.",Reality-TV,TV-G
W/ Bob and David,Bob and David emerge from the time machine they entered sixteen years ago and are reunited with the cast of Mr. Show.,Comedy,TV-MA
The Lizzie Bennet Diaries,"A modern day retelling of Pride and Prejudice, the series is told in vlog-style by Lizzie Bennet as she narrates the trials and tribulations of her family life with the help of her best friend and aspiring filmmaker, Charlotte Lu, ""practically perfect"" older sister, Jane, and easily excitable younger sister, Lydia. As in Pride and Prejudice, Lizzie's mother is all too eager to marry her and her sisters off to rich men, so when wealthy medical student Bing Lee moves into the neighborhood and manages to woo Jane, it changes the entire dynamic of the family. It isn't long before Bing's even more wealthy friend and heir to an entertainment corporation, the mysterious Darcy, makes his way into the Bennet sisters' lives, too.","Comedy ,Drama",
Sheriff Callie's Wild West,A kids' western centered on a kitty-cat sheriff whose job is to ensure that the town of Nice and Friendly Corners remains the friendliest town in the West.,"Animation ,Short ,Action ,Adventure ,Comedy ,Family ,Musical ,Western",TV-Y
The Soul Man,"""The Soul Man"" revolves around R&B superstar-turned-minister Reverend Boyce ""The Voice"" Ballentine, who was living the high life in Las Vegas at the top of the music charts when he gets the calling to go from soul singer to soul saver. Relocating to St. Louis with his wife, Lolli and his daughter, Lyric, to take over the preaching duties in his father's church, his family is not exactly eager to give up the fabulous superstar life for a humble one.",Comedy,TV-PG
Destination Truth,A globe-trekking reality show that follows Josh Gates around the world as he explores different sites of supernatural import.,Reality-TV,TV-14
Helpsters,"Cody and the Helpsters are a team of monsters who love to solve problems. Whether it's planning a party or mastering a magic trick, the Helpsters can figure anything out - because everything starts with a plan.","Short ,Family ,Music",TV-Y
American Gladiators,Remake of the syndicated TV 1989's American Gladiators. Contestants face the Gladiators in games for cash and prizes. Hosted by Hulk Hogan and Laila Ali.,"Action ,Game-Show ,Reality-TV ,Sport",
Charli D'Amelio,Influencial and popular TikToker Charli D'Amelio's YouTube videos.,Talk-Show,
The Encounter,"Several life scenarios play out as Jesus steps in to help each situation, and bring people together.",Drama,
Vanished,"The FBI examines various crimes all somehow relating to the kidnapping of Sara, U.S. senator Jeffrey Collins's second wife, from Atlanta. First FBI special agent Graham Kelton is in charge, who proved his value in a previous kidnapping case but was traumatized for life by its ending, costing the life of his own son Nathan, takes charge, but quickly finds he's not just dealing with ransom-thieves but facing a complex conspiratorial web involving the senator's crucial political role, notably in judge Wallace Rainer's presidential nomination to the Supreme Court, his first wife Jessica Nevins, their teenage children Max and Marcy, and probably even Nathan's kidnapper-murderer. After Graham's murder in the line of duty, well-connected Special Agent Danny Lucas, dropped from the top, proves as competent and tenacious but faces new, mysterious complications.","Drama ,Mystery ,Thriller",TV-14
Schulz Saves America,Comedian Andrew Schulz takes on the year's most divisive topics in this fearlessly unfiltered and irreverent four-part special.,Comedy,TV-MA
Love & Hip Hop,The lives of women trying to make it in the bright lights of New York City. But will business mix with pleasure?,Reality-TV,
Living Biblically,"An adaptation of the non-fiction book by A.J. Jacobs, in which a man tries to live in accordance with the Bible's teachings as close as possible.",Comedy,TV-PG
Partners,"Partners is a comedy that is about a life long bromance between Joe and Louis, two architects who have been friends nearly their entire lives. They are now are business partners, owning their own small architecture firm. Joe is very rational and level headed, following his head over his heart, sometimes a detriment to his relationships. Joe is newly engaged to Ali, a beautiful jewelry designer who brings out the best in him. Louis, in contrast to Joe, is passionate, outspoken and tends to exaggerate in order to make his point. Louis' partner's name is Wyatt, and is a vegan male nurse who is soft spoken and overly understanding. As they live their lives they must find a way to adapt, redefining the bond between them both personally and professionally now that there is an addition of two other important relationships.","Comedy ,Romance",
BuzzFeed Unsolved: Supernatural,"Ryan, ever the believer, embarks on a quest to convince his skeptical friend Shane that the paranormal exists by investigating the evidence around the most notorious supernatural folklore.","Adventure ,Comedy ,Horror ,Mystery",
"Fuck, That's Delicious","Chronicles the life and eating habits of rap's greatest bon vivant, Action Bronson. With the help of his friends Meyhem Lauren, The Alchemist and Big Body Bes, Action shows us that life is to be enjoyed as much as possible.","Music ,Reality-TV",TV-14
Catch 21,A black-jack style game show in which contestants answer trivia questions in order to build playing card amounts as close as possible to 21.,Game-Show,TV-GT
A Killer Uncaged,"Three-part docuseries following Dale Wayne Sigler, a murderer, as he is released from prison after 30 years behind bars.",None,TV-MA
Magic for Humans,Justin Willman performs magic tricks on the street.,Comedy,TV-PG
Dan Vs.,"A rude, crude, and scruffy curmudgeon named Dan tries to get revenge on anyone and anything that angers him. His misadventures are coupled with his best friend and summer camp buddy, Chris, and occasionally the skills of Chris's secret operative wife, Elise. Dan's misadventures unfortunately places him in odd circumstances, from a jogging werewolf to the depths of the Pasadena Parallelogram, Dan's many adventures pertains towards many slap-stick and original laughs -- much towards the dismay that plagues Dan. Accompanied by his lovable pet cat, Mr. Mumbles, much of Dan's angers can't but subside, ceasing by the lovable cuteness of his prized cat. Catburglars, Baseball, Dancing, High School, Canada, Ninjas, Dentists, Dinosaurs, George Washington -- are no match for this angry hermit. Look out world, here comes the hair-trigger ruffian, Dan.","Animation ,Action ,Comedy ,Drama ,Family",TV-PG
The Gay and Wondrous Life of Caleb Gallo,"A wonderous story of the complexities of relationships, friendly and romantic. Blurring the lines of expected troupes through random comedy and a realistic, interconnected interaction",Comedy,
Nature Is Speaking,"In this series of short films, Nature is given a voice to raise awareness that people need nature in order to survive.",Short,
The Toys That Made Us,"Toys can be more than simply children's playthings, the biggest ones can say so much about popular culture and the generations raised in it. This series covers the history of the major toylines of the post-World War II generations, the media franchises they represented, and how they reflected their times and how they changed with them.","Documentary ,Comedy ,History",TV-14
Reunion,"A relentless New York City police detective, named Ken Marjorino, arrives in the town of Bedford, New York, to investigate the murder of a mysterious person at a 20th high school reunion. Through Marjorino's interviews with the suspects, the stories takes us back 20 years starting in 1986 where six close friends graduated from high school. They include good-natured and ambitious, blue-collared Will Malloy; wealthy and snobbish, white-collared Craig Brewster; overachieving but direction less Aaron Lewis; Craig's girlfriend Samantha Carlton who dreams of becoming a doctor; Samantha's best friend Carla Noll a struggling photographer; and the hip Jenna Moretti who's obsessed with becoming a world-famous actress. With each flashback we learn more about Will, Craig, Aaron, Samantha, Carla and Jenna over their various directions they take with their lives. With each passing year that we observe, it brings up more questions. Of the six, which one was murdered? Which one committed the crime ...","Drama ,Mystery",
Random Acts of Flyness,"Late-night series from artist Terence Nance featuring a mix of vérité documentary, musical performances, surrealist melodrama and humorous animation as a stream-of-consciousness response to the contemporary American mediascape.",Comedy,TV-MA
Dinotrux,"Animals like the Craneosauraus, Garbageadon and Tyrannosaurus Trux (part dinosaurs and part truck) exist in a fictional prehistoric era.","Animation ,Short ,Action ,Adventure ,Comedy ,Family",TV-Y7
Immigration Nation,A documentary looking inside the world of immigration enforcement under the Trump administration.,None,TV-MA
Crusoe,"Based on the novel written in 1719, this is said to be an action-packed period drama set in the 18th century, but with a contemporary take on race relations -- and a hero who will bear a resemblance to Angus MacGyver. NBC has committed to 13 episodes.","Adventure ,Drama",
The Fugitive,"Dr. Richard Kimble is framed for his wife's murder by a mysterious one-armed man. During sentencing Kimble escapes intending to catch the one-armed man and find out why he was framed. Following in hot pursuit is Inspector Philip Gerard, who is intending to bring in Kimble alive. But Gerard and the one-armed man are not the only thing Kimble has to worry about. The father of his late wife has hired bounty hunters who are willing to break the law to catch him, and in the age of internet tracking and high-tech surveillance, it's not as easy to hide as it used to be.","Action ,Drama",
Sell This House,"Sell This House is a reality television series that started airing on the A&E television network in 2003. Host Tanya Memme and designer/home stager Roger Hazard help homeowners who are having trouble selling their houses. First, cameras are set up to record prospective buyers' reactions in a one-day open house, followed by Memme showing and discussing the comments with the homeowners. Afterwards, Hazard makes his evaluation. He, Memme, the sellers, and their friends and family then work to stage the house, fixing, minimizing or hiding any problems he has found, on a budget of a few hundred dollars. This generally involves painting, removing excess clutter and personal items, and rearranging furniture. Finally, the same potential buyers are brought back for a second walkthrough. In 2011, for season 9, the show's name was changed to Sell This House: Extreme and the format expanded to one hour. Construction expert Charlie Frattini and designer Daniel Kucan joined the cast.",Reality-TV,
Drug Lords,Documentary series examining drug cartels and kingpins from around the world.,Documentary,TV-MA
Miz & Mrs.,"WWE's ""It Couple"" balance becoming first-time parents with their fast-paced lives.",Reality-TV,TV-14
Glenn Martin DDS,"A dentist and father of two decides to take his family across country after their house burns down. With their old beat up Winnebago, the Martin family will encounter the best that America has to offer.","Animation ,Comedy",TV-GT
Primal Survivor,"Primal Survivor tracks wilderness guide and survival instructor Hazen Audel as he tackles some of mankind's most rigorous journeys, relying on skills learned from native inhabitants.After first living with the locals to understand their way of life, he sets out on solo journeys through territories that push him to his very limits.",None,
Watergate,"Patient compendium drawing from 3400 hours of audio tapes, archival footage, declassified documents, et al, weaves a rich texture of understanding, particularly effective in flashbacks from their current day selves to their Watergate-era roles for such stalwarts as Carl Bernstein, Bob Woodward and John Dean. Numerous current day parallels are elegantly understated.",Documentary,
Game of Silence,"Jackson Brooks is a successful attorney who seems to have it all. He's engaged to his boss, Marina, and he's on the fast track to becoming partner at his firm, but his world is turned upside down when his long-lost childhood friends unexpectedly reappear after 25 years.",Drama,TV-MA
Megas XLR,"In the future, humanity has been beset by a horde of alien invaders. Kiva, a human soldier, has captured an alien mecha, the Megas, and remodeled it, planning to send it back in time three years to a pivotal battle so that the humans can win the war. Her plan goes awry when the Megas is fired upon in transit, rocketing it at random through time. She pursues it, as does the alien mothership. Curtain up on present day. A slob in New Jersey has discovered the Megas in a pile of garbage. Kiva, having caught up to him, is dismayed to learn that it has been remodeled, its head replaced by a classic muscle car, its controls integrated with video game controllers, making her new (and unfortunate) ally, Coop, the only one capable of piloting the Megas. She must now find a way to repair the Megas' time controller and return to the future, as well as dealing with the various challenges inherent in co-owning the Earth's most destructive piece of hardware... especially since Coop insists that it ...","Animation ,Short ,Action ,Adventure ,Comedy ,Family ,Fantasy ,Sci-Fi",TV-Y7
Cashmere Mafia,A group of successful female executives who have been friends since college turn to each other for guidance as they juggle their careers with family in New York City.,"Comedy ,Drama",TV-PG
Hot Date,"Inspired by the popular series of CollegeHumor Originals, HOT DATE is a new television comedy from Pop TV and Big Breakfast spotlighting modern-day relationships and dating dilemmas. The series stars real-life married couple Emily Axford and Brian K. Murphy, two CollegeHumor comedians who also star in the ""Hot Date"" digital series, which has garnered over 100 million views to date. Executive produced by Will Arnett (""Arrested Development,"" ""30 Rock"") and Electus production company Big Breakfast (""Adam Ruins Everything""), HOT DATE chronicles the social mores of dating, sex and marriage.",None,
Miami Ink,5 tattoo artists move to South Beach to open up a tattoo shop.,"Documentary ,Reality-TV",TV-14
Forensic Files II,"Forensic Files, long considered the gold-standard of crime and justice non-fiction programming, will return with 16 new half-hour episodes. The updated series will showcase all new mysteries to solve and feature the same style, music, story type and content that fans know and love.",None,
The Zoo,An in-depth behind the scenes look at the animals of the Bronx Zoo.,Reality-TV,
The Biggest Loser,"The simple idea of The Biggest Loser, familiar to dieters the world over, is that ""whomever loses the most...wins."" Losing weight will be difficult, though, as the 12 contestants (six male and six female) will be faced with real-life temptations that their new approved weight-loss skills and resources should help them overcome -- if they want to win, that is.","Game-Show ,Reality-TV",TV-PG
Escaping Polygamy,"Escaping Polygamy focuses on the dramatic work of three sisters who escaped from the polygamous cult known as the Kingston clan as young women and now help other young men, women and children to escape, preferring to face hell than spend another day inside.",Reality-TV,
The Annoying Orange,"Annoying Orange is, as his name suggests, a very annoying orange who's main way of entertaining himself is to make fun of other foods in the kitchen where he lives. Orange torments these fruits, veggies, etc. to no end, creating mean-spirited variations on everyone's name, cracking grueling puns, driving them crazy with his nonstop chatter. Only at the end of each episode, where the sudden death of each fruit is caused by a knife, do these poor edibles finally get relieved of their torture.","Comedy ,Family ,Fantasy",TV-PG
Gamer's Guide to Pretty Much Everything,"The show centers on Conor, a 15-year-old video gamer, who is forced to attend high school for the first time after a thumb injury sidelines him from the glamorous pro gaming circuit. As a coping mechanism, he begins to visualize life as a video game. He is reunited with his three former gamer friends who he left behind for life on the pro circuit World Tour, and he quickly realizes that restoring his friendships is vital in his quest to ""level up"" to his former glory.","Adventure ,Comedy ,Fantasy",TV-Y7
Best of the Worst,"Mike, Jay, Rich and the rest of the Red Letter Media crew brave some of the worst movies ever created by man.","Comedy ,Talk-Show",
Billy & Billie,A TV series that follows two step-siblings as they try and navigate their taboo romance.,"Comedy ,Drama ,Romance",TV-MA
Inside the Criminal Mind,"Inside the Criminal Mind- a gripping exploration exposing the psychological machinations and immoral behavior that define the most nefarious criminal types. Every episode of the series delves into the ardent backgrounds of infamous criminal's and with commentary from world leading experts, a cognitive profile is created allowing the audience not just to understand but recognize the psychology that creates the most fearsome types of criminals.",None,
Conspiracy Theory with Jesse Ventura,"'Jesse Ventura' sets out with a team of investigators to learn about various conspiracy theories many people are convinced have occurred. Many of the conspiracies investigated vary from secret weapons projects, government cover-ups, and world domination. Much of what you hear will shock you, but it is up to you to decide what is true and what is not true.",Documentary,
Ninjak vs the Valiant Universe,"Colin King is Ninjak, MI-6's deadliest intelligence operative, and weapons expert. When the ruthless assassin Roku exploits his greatest weakness, Ninjak will be forced to betray his closest allies. Now, on the run, he must face off against the most powerful heroes known to man for a high-octane, take-no-prisoners trial by fire more perilous and more unpredictable than any he's faced before. In 2017, the world's most dangerous super-spy goes to war with the Valiant Universe...","Action ,Adventure ,Crime ,Sci-Fi",
The Cat in the Hat Knows a Lot About That!,"The Cat in The Hat knows a lot about virtually every thing. With the help of fish, thing 1, and thing 2; the Cat in the Hat teaches kids about many things through song and games.","Animation ,Adventure ,Comedy ,Family ,Fantasy ,Musical ,Sci-Fi",TV-Y
In a Heartbeat,"Disney Channel series inspired by real life EMT squads staffed by high school students. It follows the adventures of four high school students who volunteer part-time as EMTs so they work towards a medical career. The live-action dramatic series follows the lives of four such teens as they strive to balance the responsibility of saving lives with the everyday, adolescent demands of family, friends and school.",Drama,
Deadly Sins,A docudrama that examines the true evils that push people beyond the limits of the law and reveals crimes driven by the most basic of human instincts.,"Documentary ,Crime",TV-PG
Hoarding: Buried Alive,"With the help of experts, men and women fight to find a way to defeat their unhealthy obsession; hoarding.",Documentary,
Do No Harm,"Jason Cole, a brilliant neurosurgeon has to battle with his own alter-ego, Ian Price, in order to live a normal life in this modern take on Jekyll and Hyde.","Drama ,Sci-Fi",TV-14
Huntik: Secrets and Seekers,"Our hero, Lok Lambert, is an ordinary high school student with a knack for puzzles. While he's studying with classmate Sophie Casterwill, they happen to find a magic Amulet and a journal left behind by Lok's missing father. However, the evil Organization, a group of evil monster summoners called Seekers are after the book. They attack Sophie and Lok with their monsters, called Titans. Sophie is also a Seeker and is able to defend herself, but Lok is forced into a dangerous chase to protect the journal. They join up with master adventurer Dante Vale, who is a heroic Seeker with the Huntik Foundation. Sophie wants to help Lok, because her family's secret symbol is on the cover of the journal. She hires Dante Vale with her family fortune to help them find Lok's father and train them both to be master Seekers. As they follow the clues to Prague, they add a new Seeker to the team, a mysterious lone wolf named Zhalia Moon, and a mysterious little Titan with the ability to talk, Cherit. When...","Animation ,Action ,Adventure ,Fantasy ,Mystery",TV-Y7
Guilt,An American college student living in London becomes the prime suspect in her roommate's gruesome murder.,"Crime ,Drama ,Mystery",
Wahlburgers,A look at the personal and professional life of Boston chef Paul Wahlberg and his real-life entourage as he prepares to expand his hamburger restaurant business.,Reality-TV,TV-PG
Penn & Teller: Bullshit!,"Using a combination of set ups, descriptions, rants and film of practitioners, Penn & Teller show the bullshit that's everywhere. The initial show covers mediums or Talkers to the Dead. Penn Jillette explains in the first program that while calling someone a liar or a con man is actionable, ""bullshit"" is safe. Each show has a topic such as Mediums, Feng Shui, Medical devices or Penis Enlargement. Using humor and experts, they debunk the bullshit.","Comedy ,Documentary",TV-MA
Camp,"Off the grid and miles from civilization, Little Otter Family Camp has summer fun for everyone. Mackenzie Granger is the camp owner and director. Still reeling from her recent divorce, Mackenzie is ready for a fresh start. She is running things on her own for the first time and scrambling to keep the cash-strapped Little Otter from going under. She considers a buyout offer from Roger Shepard, the arrogant but sexy owner of the upscale camp across the lake. Despite her better judgment, their love-hate relationship quickly escalates. Meanwhile, she begins to realize that her charming but much younger handyman, Cole, might be interested in more than just a professional relationship. In the midst of all this, Mackenzie is struggling to be a single parent to her brash and exuberant oddball of a son, Buzz, who is a counselor-in-training at Little Otter this year.","Comedy ,Drama ,Romance",
Hack,"When corruption charges strip him of his job, his family and his pride, former cop Mike Olshansky forges a new identity as a Philadelphia cab driver, patrolling the city as a roving vigilante who works with local police.","Crime ,Drama",
Bliss,A philandering travel writer attempts to balance his two family lives.,Comedy,
Human Discoveries,"A group of friends living at the dawn of human civilization are the first to discover necessities like fire and the wheel. We'll watch as they stumble onto humanity's best, and worst, innovations. Art. Alcohol. Fashion. Racism. Small talk. And, much to their confusion, monogamy.",None,TV-MA
